127.0.0.1 - - [24/Jul/2024:15:42:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:42:31 +0530] "GET /CRM/ManageFeedback.jsp HTTP/1.1" 200 3407
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:42:31 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:42:35 +0530] "GET /CRM/AddFeedback.jsp HTTP/1.1" 200 2535
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/login_register.jsp HTTP/1.1" 200 27357
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/lib/components-font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/lib/flexslider/flexslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/lib/et-line-font/et-line-font.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/lib/animate.css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/lib/magnific-popup/dist/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/css/colors/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/lib/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/lib/owl.carousel/dist/assets/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/lib/owl.carousel/dist/assets/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/lib/jquery/dist/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/lib/simple-text-rotator/simpletextrotator.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/lib/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/images/rp-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/lib/jquery.mb.ytplayer/dist/jquery.mb.YTPlayer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/images/rp-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/lib/wow/dist/wow.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/lib/isotope/dist/isotope.pkgd.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/lib/imagesloaded/imagesloaded.pkgd.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/lib/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/lib/flexslider/jquery.flexslider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/lib/owl.carousel/dist/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/lib/simple-text-rotator/jquery.simple-text-rotator.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/lib/magnific-popup/dist/jquery.magnific-popup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/js/plugins.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/lib/components-font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /manifest.json HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/images/section-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jul/2024:15:52:13 +0530] "GET /CRM/assets/images/favicons/favicon-32x32.png HTTP/1.1" 304 -
